,PRE038
ALDH9A1,0.5654808
TMCO1,0.3901361
UCK2,0.030393984
POGK,0.04792732
TADA1,0.022075944
POU2F1,0.06609428
CD247,0.02522407
CREG1,0.36711976
RCSD1,0.04114647
MPZL1,0.057031162
MPC2,0.8879163
DCAF6,0.11853566
GPR161,0.012999629
TIPRL,0.14910832
SFT2D2,0.21613407
XCL2,0.009396726
DPT,0.0004420967
ATP1B1,1.7761813
NME7,0.07511457
BLZF1,0.06702461
SLC19A2,0.057603847
F5,0.0073640295
SELP,0.02255939
SELL,0.0035274536
METTL18,0.037116587
SCYL3,0.045675997
KIFAP3,0.07930708
GORAB,0.018568456
FMO3,0.0014248899
FMO2,0.07692348
FMO4,0.21964996
PRRC2C,0.28194186
VAMP4,0.072889276
METTL13,0.042453583
DNM3,0.04098906
DNM3OS,0.044929896
PIGC,0.052299738
SUCO,0.08731022
PRDX6-AS1,0.0057498147
PRDX6,0.91448355
KLHL20,0.08648925
CENPL,0.0024946507
DARS2,0.052664705
ZBTB37,0.06386371
RC3H1,0.087361895
RABGAP1L,0.1334053
CACYBP,0.26071194
MRPS14,0.11123616
KIAA0040,0.032803994
COP1,0.05601147
SEC16B,0.0016632419
RASAL2,0.14474
RALGPS2,0.039440736
ANGPTL1,0.03843772
FAM20B,0.07383817
TOR3A,0.03629383
ABL2,0.05028864
SOAT1,0.0827706
TOR1AIP2,0.23245858
TOR1AIP1,0.15150473
ENSG00000260360,0.0013264292
CEP350,0.19637437
QSOX1,0.07966399
ACBD6,0.07763598
XPR1,0.13400137
STX6,0.042439815
MR1,0.027338266
IER5,0.048292052
GLUL,0.38282162
RNASEL,0.022117328
RGS16,0.032175504
NPL,0.41442642
DHX9,0.20346323
LAMC1,0.08769005
SMG7,0.10509836
NCF2,0.0031365764
ARPC5,0.27121255
RGL1,0.19654635
TSEN15,0.12868501
C1orf21,0.07600076
EDEM3,0.09537384
NIBAN1,0.061084863
RNF2,0.041892663
TRMT1L,0.11316566
SWT1,0.02595698
IVNS1ABP,0.3425322
ENSG00000273004,0.0
HMCN1,0.012189158
TPR,0.16755672
ODR4,0.081966266
PTGS2,0.0
RGS18,0.0048642713
RGS1,0.037379086
RGS13,0.0
RGS2,0.021871677
UCHL5,0.12321081
RO60,0.21954057
GLRX2,0.12105711
CDC73,0.11313836
KCNT2,0.0076903263
CFH,0.045687914
CFHR1,0.0
ZBTB41,0.087181926
DENND1B,0.08315815
NEK7,0.11798303
PTPRC,0.07000193
MIR181A1HG,0.0066240095
NR5A2,0.008724838
ZNF281,0.11128106
DDX59,0.05256593
CAMSAP2,0.107488655
KIF21B,0.0035024628
TMEM9,0.18823856
PKP1,0.012809764
PHLDA3,0.06647492
CSRP1,0.27708519
NAV1,0.04741672
IPO9-AS1,0.0044808495
IPO9,0.07905407
SHISA4,0.034904428
ENSG00000223774,0.0012866819
LMOD1,0.06356951
TIMM17A,0.13668399
RNPEP,0.13692975
ELF3,0.030936679
ARL8A,0.16081944
PTPN7,0.0032948877
LGR6,0.0064831907
UBE2T,0.014793918
PPP1R12B,0.117371075
KDM5B,0.03625646
PCAT6,0.0087192925
RABIF,0.06115192
KLHL12,0.06232528
ADIPOR1,0.19953817
CYB5R1,0.2026775
TMEM183A,0.15931359
LINC01353,0.0010448818
BTG2-DT,0.0
BTG2,0.1289211
PRELP,0.01320798
ATP2B4,0.13749203
LAX1,0.0047414512
ZC3H11A,0.003626447
ZBED6,0.0
SNRPE,0.42725742
SOX13,0.07925584
ETNK2,0.4969119
PLEKHA6,0.06741447
PPP1R15B,0.14724328
PIK3C2B,0.033381503
MDM4,0.20150861
NFASC,0.036542304
RBBP5,0.10168489
DSTYK,0.07734996
CDK18,0.1398514
ELK4,0.12793095
SLC45A3,0.005386994
NUCKS1,0.6644965
